,name,price_score,proximity_to_park_score,criminality_score,desired
0,Stylish Queen Anne Apartment,6,6,4,0
1,Bright & Airy Queen Anne Apartment,2,1,4,0
2,New Modern House-Amazing water view,0,6,4,0
3,Queen Anne Chateau,5,2,4,0
4,Charming craftsman 3 bdm house,0,3,4,0
5,Private unit in a 1920s mansion,4,9,4,0
6,Queen Anne Private Bed and Bath,7,2,4,0
7,Tiny Garden cabin on Queen Anne  ,8,1,4,0
8,Urban Charm || Downtown || Views,6,7,4,0
9,Airy + Bright Queen Anne Apartment,2,1,4,0
10,Private Apartment - Queen Anne Hill,6,7,4,0
11,Upper Queen Anne Craftsman House,5,7,4,0
12,Elegance in Historic Queen Anne,2,9,4,0
13,Stunning 6 bd in THE BEST Location!,0,0,4,0
14,Park Life in Lower Queen Anne,8,8,4,0
15,"Private Garden Suite, Bay View",5,1,4,0
16,Queen Anne Getaway Near Seattle!,1,1,4,0
17,Grand Craftsman Home on Queen Anne,0,7,4,0
18,Cozy Queen Anne Finished Basement,5,9,4,0
19,Lovely Queen Anne home,0,8,4,0
20,"Cozy Lower Level, Upper Queen Anne",7,4,4,0
21,Charming home on Queen Anne,0,2,4,0
22,VIEW-Monthly Rental Available,0,6,4,0
23,Cute Bungalow-Close to Everything!,2,1,4,0
24,Micro Gypsy Wagon on Queen Anne,9,2,4,0
25,STUNNING VIEW of Puget Sound,0,7,4,0
26,Open Airy Queen Anne Condo,7,2,4,0
27,Airy + Bright Queen Anne Cottage,1,1,4,0
28,Queen Anne 3 bed near everything,0,4,4,0
29,1914 Stunner View Ocean Mountain,1,1,4,0
30,Seattle Queen Anne Beauty,1,4,4,0
31,The Hideaway- Queen Anne/downtown,2,9,4,0
32,QUEEN ANNE VIEW ONE! - SEATTLE,3,2,4,0
33,"URBAN SANCTUARY, 3BR, QUEEN ANNE",0,9,4,0
34,Cozy Homebase Close to Downtown,9,7,4,0
35,VIEW QUEEN ANNE! - VINTAGE SEATTLE,2,2,4,0
36,Cute little Seattle Studio!,7,8,4,0
37,Walker's Dream on Queen Anne Hill,4,4,4,0
38,"DARLING VINTAGE COTTAGE, QUEEN ANNE",2,1,4,0
39,Modern Eco-Friendly View Retreat,0,2,4,0
40,Beautiful 1 Bedrm in Queen Anne,2,6,4,0
41,One bedroom with Lounge,2,9,4,0
42,LOWER QUEEN ANNE STUDIO W/PATIO,5,8,4,0
43,Queen Anne Craftsman,0,3,4,0
44,Queen Anne Hill Craftsman studio,4,4,4,0
45,Craftsman House Near Everything,2,2,4,0
46,Seattle Backyard Cottage-Queen Anne,3,1,4,0
47,:: Carriage House :: Queen Anne ::,5,3,4,0
48,Top Floor Apt. W/ Spectacular View!,3,2,4,0
49,"Cozy, cute, Queen Anne living",10,3,4,0
50,"Beautiful, Modern Townhouse",2,1,4,0
51,Located in the heart of Queen Anne,2,6,4,0
52,Cozy room in Modern Queen Anne Home,7,7,4,0
53,Stand alone Guest Cottage,6,3,4,0
54,Beautiful West Queen Anne Craftsman,0,2,4,0
55,Bright & Airy room w/ $1M views,6,2,4,0
56,Private room in upper QA w/ view!,7,2,4,0
57,Suite Garage on Queen Anne,6,0,4,0
58,Peaceful Queen Anne Getaway,7,6,4,0
59,Hand crafted Gypsy Wagon with heart,8,0,4,0
60,Cozy 2 BR/1 BA Queen Anne Home,1,6,4,0
61,Cozy Ballard Apartment,6,5,5,0
62,Plum Modern - 5 bdrm Tranquility,0,7,5,0
63,1BR-Ultra Hip Ballard-Walk to Bars!,1,9,5,0
64,"Modern, Cozy 1 Bedroom Apartment",8,8,5,0
65,Urban cottage in heart of Ballard,8,4,5,0
66,**Be in the MIDDLE OF EVERYTHING!*,9,9,5,0
67,Cute Cottage in Sunny Ballard,2,1,5,0
68,Two blocks from downtown Ballard,7,4,5,0
69,"Cozy Private Room, Bath and Patio",9,3,5,0
70,Ballard Artist's Studio,6,7,5,0
71,Historic Ballard House,3,4,5,0
72,Nautical Bedroom in Modern House,8,4,5,0
73,Pull out couch in garage,9,3,5,0
74,Tiny Ballard House Near Transit,9,7,5,0
75,Bunkhouse Topbunk/Airstream Retreat,2,5,5,0
76,Sweet Ballard Apartment for Two,3,5,5,0
77,Charming Old Ballard Bungalow (2/2),9,7,5,0
78,Ballard Victorian 900 sq ft apt,3,8,5,0
79,"One-bedroom Apartment, Ballard",5,8,5,0
80,Beautiful Ballard condo with view!,2,5,5,0
81,2 Bedrm Apt in the heart of Ballard,5,4,5,0
82,Pretty Condo in Downtown Ballard,2,6,5,0
83,Loft bedroom & art studio,4,4,5,0
84,Chic 3 bed 4 bath Ballard townhome,1,6,5,0
85,"Private, clean, spacious Townhome",7,2,5,0
86,Victorian Charm in Heart of Ballard,3,2,5,0
87,Modern Ballard Apt 4 Tech Travlers,4,8,5,0
88,Modern family home in Old Ballard,1,8,5,0
89,Cottage in the Heart of Ballard,6,3,5,0
90,Ballard Townhome - Pet Friendly!,1,4,5,0
91,Ballard Cottage with Loft,9,6,5,0
92,Plum Apartment,3,7,5,0
93,Spacious Ballard Apt: Walk to All!,7,3,5,0
94,Pvt. Entrance Bedroom&Bath-Ballard,8,4,5,0
95,Ballard Townhouse Near The Locks,0,3,5,0
96,"Ballard, Seattle Cozy Studio Apt.",5,3,5,0
97,Condo in Hip Ballard WALK,2,4,5,0
98,Renovated 2 bedroom in old Ballard,3,5,5,0
99,Large Home in Historical Ballard,1,6,5,0
100, Ballard Garden Apartment,4,6,5,0
101,Entire artist's  apt in hip hood,1,7,5,0
102,Spacious condo with gorgeous views,3,3,5,0
103,Apartment in Downtown Ballard,2,5,5,0
104,Urban Oasis in the Heart of Ballard,1,5,5,0
105,Master in Modern Townhouse,8,6,5,0
106,Classic old Ballard home,1,6,5,0
107,Private bedroom in heart of Ballard,8,6,5,0
108,Party Central Studio on Ballard Ave,6,9,5,0
109,Private room & bath- Ballard,8,4,5,0
110,Cute Cozy Townhome in Old Ballard,2,3,5,0
111,Ballard Bunkhouse - Bottom Bunk,1,5,5,0
112,Charming Ballard Apartment,2,5,5,0
113,Foodie Paradise near DT Seattle ,1,3,5,0
114,Charming 1919 cottage in Ballard,4,5,5,0
115,Charming Old Ballard bungalow,9,5,5,0
116,Plum House - 4 bdrm Ballard luxury,0,7,5,0
117,Victorian in the Heart of Ballard,7,6,5,0
